3069498515|1417465|0|1583043898
3069498515|1417482|0|1583044400
3069498515|1447670|0|1583043978
3069498515|1450364|0|1583044294
3069498515|1570242|0|1583043413
3069498515|1599299|0|1583044263
3069498515|1599849|0|1583044889
3069498515|1642708|13.57|1583043564
3069499675|1202498|0|1583044378
3069499675|1559431|0|1583044168
3069499675|1561500|17.99|1583043744
3069499675|1572420|36.99|1583045664
3069499675|1574301|0|1583045730
3069499675|1577989|0|1583044062
3069499675|1580021|17.99|1583043954
3069499675|1597996|0|1583044974
3069499675|1598878|0|1583045072
3069499675|1604140|0|1583045440
